from_title,to_title,relation,confidence,n_moves,share_of_moves,years,from_last_year,to_first_year,from_family,from_level,to_family,to_level,source
CLIN NURSE 2,CLIN NURSE 5,promotion,medium,10,0.002,2013|2014|2015|2016,2025,2012,CLIN NURSE,2,CLIN NURSE,5,claude
CLIN SPEC NEX,CLIN NURSE 2,other,low,10,0.11,2013|2014,2024,2012,CLIN SPEC,1,CLIN NURSE,2,claude
CLIN SPEC SUPV EX,RADLG SVC SUPV 2,other,low,10,0.222,2022,2025,2016,CLIN SPEC SUPV,1,RADLG SVC SUPV,2,claude
CNSLR 1,STDT ACAD ADVISOR 1,rename,medium,10,0.312,2020,2019,2020,CNSLR,1,STDT ACAD ADVISOR,1,claude
"CODER, HEALTH INFORMATION III",HEALTH INFO CODER 3,rename,high,10,0.909,2012,2011,2012,"CODER, HEALTH INFORMATION",3,HEALTH INFO CODER,3,claude
CONTINUING EDUCATOR I,CONTINUING EDUCATOR II,promotion,high,10,0.625,2013|2014|2015|2016|2017|2019|2022,2025,2010,CONTINUING EDUCATOR,1,CONTINUING EDUCATOR,2,claude
CONTINUING EDUCATOR II,TEACHER-UNEX-CONTRACT YR,other,low,10,0.179,2012|2015|2017|2018|2019|2020|2024,2025,2012,CONTINUING EDUCATOR,2,TEACHER-UNEX-CONTRACT YR,1,claude
CONTRACTS AND GRANTS SUPV 2,RSCH ADM 4 RP,other,low,10,0.128,2025,2025,2025,CONTRACTS AND GRANTS SUPV,2,RSCH ADM,4,claude
COOK,COOK PRN,promotion,medium,10,0.036,2014|2016|2017|2018|2019|2020,2025,2012,COOK,1,COOK,3,claude
COOK SR,COOK PRN,promotion,medium,10,0.092,2014|2015|2016|2017|2019,2025,2012,COOK,2,COOK,3,claude
COUNSELING PSYCH INTERN NEX,CNSLNG PSYCH INTERN NEX,rename,medium,10,0.333,2017,2016,2017,COUNSELING PSYCH INTERN,1,CNSLNG PSYCH INTERN,1,claude
COUNSELING PSYCHOLOGIST 4,CNSLNG PSYCHOLOGIST 4,rename,high,10,0.909,2017,2016,2017,COUNSELING PSYCHOLOGIST,4,CNSLNG PSYCHOLOGIST,4,claude
CT TCHNO PD,CT TCHNO SR,promotion,high,10,0.323,2015|2016|2021|2022|2023|2025,2025,2012,CT TCHNO,1,CT TCHNO,2,claude
CT TCHNO SR,CT TCHNO LD,promotion,high,10,0.526,2014|2017|2020|2022|2023|2024,2025,2012,CT TCHNO,2,CT TCHNO,3,claude
"CUSTODIAN SUPV, PRIN.",CUSTODIAN PRN SUPV,rename,high,10,0.667,2012,2011,2012,"CUSTODIAN SUPV, PRIN.",1,CUSTODIAN PRN SUPV,1,claude
CUSTOMER SVC REPR 2,CUSTOMER SVC REPR 3,rename,medium,10,0.263,2017|2019,2018,2014,CUSTOMER SVC REPR,2,CUSTOMER SVC REPR,3,claude
CUSTOMER SVC REPR 2,EMPLOYEE SVC ASC,rename,medium,10,0.263,2019,2018,2019,CUSTOMER SVC REPR,2,EMPLOYEE SVC ASC,1,claude
DATA SYS MGR 1,DATA SYS MGR 2,promotion,high,10,0.435,2016|2021|2022|2023|2024,2025,2012,DATA SYS MGR,1,DATA SYS MGR,2,claude
DECISION SUPP SPEC 4,DECISION SUPP SPEC 5,promotion,high,10,0.5,2021|2022|2023|2024|2025,2025,2017,DECISION SUPP SPEC,4,DECISION SUPP SPEC,5,claude
"DENTAL ASST, REG--EXT. FUNC.",REG DENTAL AST EXTD FUNC,rename,high,10,1.0,2012,2011,2012,"DENTAL ASST, REG--EXT. FUNC.",1,REG DENTAL AST EXTD FUNC,1,claude
DIETITIAN I,DIETITIAN 1 EX,rename,medium,10,0.476,2012,2011,2012,DIETITIAN,1,DIETITIAN,1,claude
"DOSIMETRIST, SR",DOSIMETRIST SR,rename,high,10,1.0,2012,2011,2012,DOSIMETRIST,2,DOSIMETRIST,2,claude
ECHOCARDIOGRAPHIC TCHN SR,ECHOCARDIOGRAPHIC TCHN PRN,promotion,high,10,0.909,2014|2017|2022|2025,2025,2012,ECHOCARDIOGRAPHIC TCHN,2,ECHOCARDIOGRAPHIC TCHN,3,claude
EDITOR SR,EDITOR PRN,promotion,medium,10,0.132,2013|2014|2016|2018|2020,2024,2012,EDITOR,2,EDITOR,3,claude
EHS SPEC 4,EHS MGR 1,other,low,10,0.278,2017|2019|2021|2022|2025,2025,2012,EHS SPEC,4,EHS MGR,1,claude
EHS SPEC AST,EHS SPEC 1 EX,promotion,high,10,0.385,2013|2014|2015|2016,2018,2012,EHS SPEC,0,EHS SPEC,1,claude
ELECTRN,HIGH VOLT ELECTRN,other,low,10,0.104,2017|2020|2023|2025,2025,2012,ELECTRN,1,HIGH VOLT ELECTRN,1,claude
EMERGENCY TRAUMA TCHN SR,CLIN NURSE 2,other,low,10,0.122,2015|2017|2021|2022|2023|2025,2025,2012,EMERGENCY TRAUMA TCHN,2,CLIN NURSE,2,claude
ENTERPRISE RISK MGT ANL 2,ENTERPRISE RISK MGT ANL 3,promotion,high,10,0.625,2015|2021|2022|2023,2025,2012,ENTERPRISE RISK MGT ANL,2,ENTERPRISE RISK MGT ANL,3,claude
ENTERPRISE RISK MGT ANL 3,ENTERPRISE RISK MGT ANL 4,promotion,high,10,0.556,2017|2021|2022|2023|2024|2025,2025,2012,ENTERPRISE RISK MGT ANL,3,ENTERPRISE RISK MGT ANL,4,claude
ETHICS AND CMPLNC PROFL 4,ETHICS AND CMPLNC PROFL 5,promotion,high,10,0.5,2022|2023|2024,2025,2016,ETHICS AND CMPLNC PROFL,4,ETHICS AND CMPLNC PROFL,5,claude
EVENTS SPECIALIST 4,EVENTS SPEC 4,rename,high,10,1.0,2012,2011,2012,EVENTS SPECIALIST,4,EVENTS SPEC,4,claude
EXEC AST 4,ADMIN OFCR 4,other,low,10,0.143,2020|2022|2023|2024,2025,2012,EXEC AST,4,ADMIN OFCR,4,claude
FAC MGT SPEC 2 CX,FAC MGT SPEC 3 CX,promotion,high,10,0.4,2024|2025,2025,2023,FAC MGT SPEC,2,FAC MGT SPEC,3,claude
FIRE SPEC 1 56 HRS,FIRE SPEC 2 56 HRS,other,low,10,0.769,2014|2015|2016|2017|2019|2020|2025,2025,2012,FIRE SPEC 1 56 HRS,1,FIRE SPEC 2 56 HRS,1,claude
"FOOD SERVICE MGR, ASST",FOOD SVC MGR AST,rename,high,10,0.714,2012,2011,2012,FOOD SERVICE MGR,0,FOOD SVC MGR,0,claude
FOOD SERVICE WORKER,"FOOD SERVICE WORKER, SR",promotion,medium,10,0.016,2011,2011,2010,FOOD SERVICE WORKER,1,FOOD SERVICE WORKER,2,claude
FOOD SVC MGR PRN,FOOD SVC MGR 1,other,low,10,0.4,2015|2017|2018|2021,2023,2012,FOOD SVC MGR,3,FOOD SVC MGR,1,claude
FUNDRAISER II,FUNDRAISER 2 EX,rename,high,10,1.0,2012,2011,2012,FUNDRAISER,2,FUNDRAISER,2,claude
FUNDRAISING MGR 2,FUNDRAISER 5,other,low,10,0.455,2014|2021|2023|2024|2025,2025,2010,FUNDRAISING MGR,2,FUNDRAISER,5,claude
GENETIC CNSLR 1 NEX,GENETIC CNSLR 2 NEX,promotion,high,10,1.0,2016|2017|2020|2021|2023|2025,2025,2012,GENETIC CNSLR,1,GENETIC CNSLR,2,claude
"GROUNDS SUPVR, SR",GROUNDS SR SUPV EX,rename,high,10,0.833,2012,2011,2012,GROUNDS SUPVR,2,GROUNDS SR SUPV,1,claude
HEALTH INFO CODER 2,HEALTH INFO CODER 3,promotion,high,10,0.27,2015|2017|2021|2024|2025,2025,2012,HEALTH INFO CODER,2,HEALTH INFO CODER,3,claude
HEALTH TCHN 3,HEALTH TCHN 4 NEX,promotion,medium,10,0.052,2017|2018|2019|2020|2021|2023|2025,2025,2016,HEALTH TCHN,3,HEALTH TCHN,4,claude
HEALTH TECHNICIAN III-SUPERVISOR,TCHN 3 SUPV,rename,high,10,0.769,2013,2012,2013,HEALTH TECHNICIAN-SUPERVISOR,3,TCHN SUPV,3,claude
HOSP LAB TCHN 3 SUPV,ANES OR CLIN SUPP SUPV 1,other,low,10,0.132,2017|2019|2022,2023,2017,HOSP LAB TCHN SUPV,3,ANES OR CLIN SUPP SUPV,1,claude
HR GENERALIST 1,PAYROLL ANL 2,other,low,10,0.294,2016|2017,2025,2012,HR GENERALIST,1,PAYROLL ANL,2,claude
HS CLINICAL PROFESSOR-ACAD YR,HS CLIN PROF-AY,rename,high,10,0.833,2012,2011,2012,HS CLINICAL PROFESSOR-ACAD YR,3,HS CLIN PROF-AY,3,claude
INFECTION PREVENTION CRD 3,INFECTION PREVENTION CRD 3 HX,variant,high,10,0.37,2025,2025,2025,INFECTION PREVENTION CRD,3,INFECTION PREVENTION CRD,3,claude
INFO SYS ANL 4,INFO SYS ANL 5,promotion,medium,10,0.133,2014|2019|2021|2023|2024|2025,2025,2013,INFO SYS ANL,4,INFO SYS ANL,5,claude
INFORMATION SYSTEMS ANALYST 2,INFO SYS ANL 2,rename,high,10,0.833,2012,2011,2012,INFORMATION SYSTEMS ANALYST,2,INFO SYS ANL,2,claude
IP OFCR 3,IP OFCR 4,promotion,high,10,0.833,2021|2022|2024,2025,2018,IP OFCR,3,IP OFCR,4,claude
IRRIGATION MECHANIC,IRRIGATION MECH,rename,high,10,0.833,2012,2011,2012,IRRIGATION MECHANIC,1,IRRIGATION MECH,1,claude
K to 14 ACAD PREP SPEC 2,K to 14 ACAD PREP SPEC 3,promotion,medium,10,0.133,2015|2016|2017|2019|2020,2020,2012,K TO 14 ACAD PREP SPEC,2,K TO 14 ACAD PREP SPEC,3,claude
K-14 ACADEMIC PREP SPEC 4,K to 14 ACAD PREP SPEC 4,rename,high,10,0.909,2012,2011,2012,K-14 ACADEMIC PREP SPEC,4,K TO 14 ACAD PREP SPEC,4,claude
LAB MECHN,LAB MECHN SR,promotion,high,10,0.5,2014|2015|2016|2018|2020|2022|2025,2025,2012,LAB MECHN,1,LAB MECHN,2,claude
LECT SOE-AY-B/E/E,SR LECT SOE-AY-B/E/E,promotion,medium,10,0.159,2021|2022|2023,2023,2020,PROF OF TEACH-AY-B/E/E,2,PROF OF TEACH-AY-B/E/E,3,claude
LECTR/SR. LECR NON-REP AY,UCDC EDUCATOR - AY,rename,high,10,1.0,2018,2017,2018,LECTR/SR. LECR NON-REP AY,1,UCDC EDUCATOR - AY,1,claude
LECTURER-MISC/PART-TIME,ASSOC CLIN PROF-VOL,other,low,10,0.127,2012,2011,2012,LECTURER-MISC/PART-TIME,1,CLIN PROF-VOL,2,claude
LIBRARY AST 5,LIBRARY PROFL 3,other,low,10,0.159,2015|2016|2021,2023,2015,LIBRARY AST,5,LIBRARY PROFL,3,claude
LIBRARY PROFL 3,LIBRARY PROFL 3 CX,variant,high,10,0.588,2023|2025,2025,2023,LIBRARY PROFL,3,LIBRARY PROFL,3,claude
LIFT TEAM TCHN 2 PD,LIFT TEAM TCHN 2,variant,high,10,0.455,2018|2020|2021|2022|2023|2024|2025,2025,2015,LIFT TEAM TCHN,2,LIFT TEAM TCHN,2,claude
LRNG SKILLS CNSLR SR NEX,STDT ACAD SPEC 3,other,low,10,0.217,2017|2018|2021,2020,2012,LRNG SKILLS CNSLR,2,STDT ACAD SPEC,3,claude
MAINTENANCE_SUPVR (B),MAINT SUPV B,rename,high,10,0.909,2012,2011,2012,MAINTENANCE_SUPVR (B),1,MAINT SUPV B,1,claude
MARKETING SPEC 1,MARKETING SPEC 2,promotion,high,10,0.833,2015|2017|2020|2021|2022|2023|2024|2025,2025,2012,MARKETING SPEC,1,MARKETING SPEC,2,claude
MED AST PD,MED AST 1,other,low,10,0.161,2013|2014|2015|2016|2017,2025,2012,MED,0,MED AST,1,claude
MED CTR FOOD SVC WORKER SR,MED CTR FOOD SVC WORKER LD,promotion,medium,10,0.083,2015|2016|2018|2021|2023|2025,2025,2012,MED CTR FOOD SVC WORKER,2,MED CTR FOOD SVC WORKER,3,claude
MED CTR SECURITY OFCR SR SUPV,MED CTR SCRTY OFCR SR SUPV,rename,high,10,0.909,2016,2015,2016,MED CTR SECURITY OFCR SR SUPV,1,MED CTR SCRTY OFCR SR SUPV,1,claude
MED OFC SVC CRD 5 SUPV,AMBUL CARE ADMSTN SUPV 1,other,low,10,0.588,2018,2018,2016,MED OFC SVC CRD SUPV,5,AMBUL CARE ADMSTN SUPV,1,claude
MENTAL HEALTH THERAPIST I,MENTAL HEALTH THER 1,rename,high,10,0.833,2012,2011,2012,MENTAL HEALTH THERAPIST,1,MENTAL HEALTH THER,1,claude
MUSEUM EDUCATOR 1,MUSEUM EDUCATOR 2,promotion,high,10,0.294,2014|2016|2017|2020|2022|2023,2025,2010,MUSEUM EDUCATOR,1,MUSEUM EDUCATOR,2,claude
MUSEUM EDUCATOR 3,MUSEUM EDUCATOR 3 TX,variant,high,10,0.714,2024,2025,2024,MUSEUM EDUCATOR,3,MUSEUM EDUCATOR,3,claude
MUSICIAN 2,MUSICIAN 3,promotion,high,10,0.476,2012|2014|2019|2021|2022,2025,2010,MUSICIAN,2,MUSICIAN,3,claude
MUSICIAN SR,MUSICIAN 2,lateral,medium,10,0.5,2015|2016|2017|2018|2019|2021,2021,2010,MUSICIAN,2,MUSICIAN,2,claude
NUC MED TCHNO,NUC MED TCHNO SR,promotion,high,10,0.714,2023|2024|2025,2025,2012,NUC MED TCHNO,1,NUC MED TCHNO,2,claude
NURSE PRACT SUPV 2,NURSE PRACT 2,other,low,10,0.4,2019|2021|2022|2023|2024|2025,2025,2016,NURSE PRACT SUPV,2,NURSE PRACT,2,claude
NURSE PRACTITIONER 1,NURSE PRACT 1,other,low,10,0.149,2016,2015,2016,NURSE PRACTITIONER,1,NURSE PRACT,1,claude
"NURSE, CLINICAL IV-SUPVR",CLIN NURSE SUPV 4,other,low,10,0.175,2012,2011,2012,"NURSE, CLINICAL-SUPVR",4,CLIN NURSE SUPV,4,claude
"NURSING AID, SENIOR, PER DIEM","NURSING AID, SR",other,low,10,0.1,2011,2011,2010,"NURSING AID, SENIOR, PER DIEM",1,NURSING AID,2,claude
OCCUPATIONAL THER 1 PD,OCCUPATIONAL THER 1 NEX,variant,high,10,0.233,2014|2017|2019|2021|2022|2023|2024,2025,2012,OCCUPATIONAL THER,1,OCCUPATIONAL THER,1,claude
OPTOMETRIST EX,OPTOMETRIST EX HX,variant,high,10,0.263,2023,2023,2023,OPTOMETRIST,1,OPTOMETRIST,1,claude
"OPTOMETRIST, SR",OPTOMETRIST SR,rename,high,10,0.909,2012,2011,2012,OPTOMETRIST,2,OPTOMETRIST,2,claude
"PAINTER, LEAD",PAINTER LD,rename,high,10,1.0,2012,2011,2012,PAINTER,3,PAINTER,3,claude
PARKING SUPV,PARKING OPS SPEC 2,other,low,10,0.435,2021,2021,2015,PARKING SUPV,1,PARKING OPS SPEC,2,claude
PATHOLOGY AST 3,PATHOLOGY AST 3 HX,variant,high,10,0.667,2025,2025,2025,PATHOLOGY AST,3,PATHOLOGY AST,3,claude
PATIENT CARE TCHN PD,PATIENT CARE TCHN,variant,high,10,0.345,2013|2014|2015,2015,2012,PATIENT CARE TCHN,1,PATIENT CARE TCHN,1,claude
PHARMACY MGR 1,PHARMACY MGR 2,promotion,high,10,0.625,2018|2022|2023|2024|2025,2025,2017,PHARMACY MGR,1,PHARMACY MGR,2,claude
PHARMACY TCHN 1 PD,PHARMACY TCHN 2 PD,promotion,high,10,0.303,2014|2019|2023|2024|2025,2025,2012,PHARMACY TCHN,1,PHARMACY TCHN,2,claude
PHARMACY TECHNICIAN I,PHARMACY TECHNICIAN II,promotion,high,10,0.233,2011,2011,2010,PHARMACY TECHNICIAN,1,PHARMACY TECHNICIAN,2,claude
PHYSICAL THERAPY ASSISTANT III,PHYS THER AST 3,rename,high,10,1.0,2012,2011,2012,PHYSICAL THERAPY ASSISTANT,3,PHYS THER AST,3,claude
"PRACTITIONER, MENTAL HEALTH,SR",MENTAL HEALTH PRACTITIONER SR,rename,high,10,1.0,2012,2011,2012,"PRACTITIONER, MENTAL HEALTH,SR",1,MENTAL HEALTH PRACTITIONER,2,claude
PROF-AY-LAW,ASSOC DEAN,other,low,10,0.172,2015|2017|2018|2019,2025,2012,PROF-AY-LAW,3,DEAN,2,claude
PROF-AY-LAW,RECALL TEACHING,other,low,10,0.172,2014|2015|2016|2017|2018|2020|2024|2025,2025,2014,PROF-AY-LAW,3,RECALL TEACHING,1,claude
PROF-SFT-VM,ADMIN STIPEND,other,low,10,0.161,2018,2025,2012,PROF-SFT-VM,3,ADMIN STIPEND,1,claude
"PROJECT MGR,DESIGN/CONSTR III",DESIGN CONST PROJECT MGR 3,rename,high,10,0.909,2012,2011,2012,"PROJECT MGR,DESIGN/CONSTR",3,DESIGN CONST PROJECT MGR,3,claude
"PROJECT MGR,DESIGN/CONSTR V",DESIGN CONST PROJECT MGR 5,rename,high,10,0.833,2012,2011,2012,"PROJECT MGR,DESIGN/CONSTR",5,DESIGN CONST PROJECT MGR,5,claude
PROJECT POLICY ANL 3,PROJECT POLICY ANL 5,promotion,medium,10,0.008,2015|2016|2018|2020|2022|2023|2024,2025,2012,PROJECT POLICY ANL,3,PROJECT POLICY ANL,5,claude
"PSYCHOLOGIST, COUNSELING I",COUNSELING PSYCHOLOGIST 1 EX,rename,high,10,0.588,2012,2011,2012,"PSYCHOLOGIST, COUNSELING",1,COUNSELING PSYCHOLOGIST,1,claude
PUBL ADMST ANL SR SUPV,PUBL ADMSTN ANL SR SUPV,rename,high,10,0.526,2016,2015,2016,PUBL ADMST ANL SR SUPV,1,PUBL ADMSTN ANL SR SUPV,1,claude
QA RELEASE MGT ANL 2,QA RELEASE MGT ANL 3,promotion,high,10,0.625,2016|2017|2019|2021|2022|2024|2025,2025,2012,QA RELEASE MGT ANL,2,QA RELEASE MGT ANL,3,claude
RAD THER TCHNO SR,RAD THER SUPV 2,other,low,10,0.357,2022|2023|2024|2025,2025,2018,RAD THER TCHNO,2,RAD THER SUPV,2,claude
REAL ESTATE OFCR 3,REAL ESTATE OFCR 4,promotion,high,10,0.714,2019|2021|2023|2024,2025,2013,REAL ESTATE OFCR,3,REAL ESTATE OFCR,4,claude
RECR PRG LEADER 2,RECR PRG LEADER 3,promotion,high,10,0.435,2019|2022|2023|2024|2025,2025,2016,RECR PRG LEADER,2,RECR PRG LEADER,3,claude
RECR PRG LEADER 3 BYA,RECR PRG LEADER 3,variant,high,10,0.294,2021|2024|2025,2025,2016,RECR PRG LEADER,3,RECR PRG LEADER,3,claude
RECREATION SUPERVISOR 1,RECREATION SUPV 1,rename,high,10,0.909,2012,2011,2012,RECREATION SUPERVISOR,1,RECREATION SUPV,1,claude
RECREATION SUPV,RECR SUPV,rename,medium,10,0.455,2016,2015,2016,RECREATION SUPV,1,RECR SUPV,1,claude
REGISTERED NURSE LAK-4,NURSE PD,rename,high,10,1.0,2025,2024,2012,REGISTERED NURSE LAK-4,1,NURSE,1,claude
RES-FY-B/E/E,RES-FY-B/E/E-NON REP,variant,high,10,0.185,2020,2025,2019,RES-FY-B/E/E,3,RES-FY-B/E/E,3,claude
RES-LR SCL-AY-B/E/E,PROF-AY-B/E/E,other,low,10,0.667,2020|2021|2022|2023|2024|2025,2025,2012,RES-LR SCL-AY-B/E/E,3,PROF-AY-B/E/E,3,claude
RESEARCH ADMINISTRATOR 2,RSCH ADM 3,other,low,10,0.147,2012,2011,2012,RESEARCH ADMINISTRATOR,2,RSCH ADM,3,claude
RESEARCH DATA ANALYST 2,RSCH DATA ANL 2,rename,high,10,0.909,2012,2011,2012,RESEARCH DATA ANALYST,2,RSCH DATA ANL,2,claude
RESIDENCE HALLS MANAGER,RSDNC HALLS MGR,rename,high,10,0.909,2012,2011,2012,RESIDENCE HALLS MANAGER,3,RSDNC HALLS MGR,1,claude
"RESIDENCE HALLS MANAGER, ASST",RSDNC HALLS MGR AST,rename,high,10,0.833,2012,2011,2012,"RESIDENCE HALLS MANAGER, ASST",3,RSDNC HALLS MGR,0,claude
RESIDENTIAL SERVICE MECHANIC,RESIDENTIAL SVC MECH,rename,high,10,1.0,2012,2011,2012,RESIDENTIAL SERVICE MECHANIC,3,RESIDENTIAL SVC MECH,3,claude
RESIDENTIAL SVC MECH,STEAM OPS ENGR,other,low,10,0.588,2016|2020|2023|2024|2025,2025,2016,RESIDENTIAL SVC MECH,3,STEAM OPS ENGR,1,claude
RESP CARE PRACT TCHN,RESP THER 2,other,low,10,0.164,2017|2018|2019|2022|2023|2025,2025,2012,RESP CARE PRACT TCHN,3,RESP THER,2,claude
RSCH GNT PRG OFCR 4,RSCH GNT PRG OFCR 5,promotion,high,10,0.204,2018|2019|2021|2022|2023|2024,2025,2017,RSCH GNT PRG OFCR,4,RSCH GNT PRG OFCR,5,claude
RSDT AST,RSDT ADVISOR 2,other,low,10,0.556,2016|2021,2025,2012,RSDT,0,RSDT ADVISOR,2,claude
RSDT DIR 1,STDT LIFE DEVT SUPV 1,other,low,10,0.189,2013|2015,2018,2012,RSDT DIR,1,STDT LIFE DEVT SUPV,1,claude
SCRTY GUARD SR SUPV,SCRTY SUPV 1,other,low,10,0.357,2018|2021,2023,2016,SCRTY GUARD SR SUPV,1,SCRTY SUPV,1,claude
SHEETMETAL MECHANIC/MACHINIST,SHEETMETAL MECH,rename,high,10,1.0,2012,2011,2012,SHEETMETAL MECHANIC/MACHINIST,1,SHEETMETAL MECH,1,claude
SOCIAL WORK ASC,CLIN SOCIAL WORKER 1 NEX,other,low,10,0.145,2016|2017|2021|2022,2025,2012,SOCIAL WORK ASC,1,CLIN SOCIAL WORKER,1,claude
SOCIAL WORK ASC,CLIN SOCIAL WORKER 2,other,low,10,0.145,2014|2019|2021|2023,2025,2012,SOCIAL WORK ASC,1,CLIN SOCIAL WORKER,2,claude
SOCIAL WORKER II,SOCIAL WORKER 2,rename,high,10,0.714,2012,2011,2012,SOCIAL WORKER,2,SOCIAL WORKER,2,claude
"SOCIAL WORKER, CLN,PD,LICENSED",CLIN LIC SOCIAL WORKER PD,rename,high,10,0.833,2012,2011,2012,"SOCIAL WORKER, CLN,PD,LICENSED",1,CLIN LIC SOCIAL WORKER,1,claude
SPECIALIST COOP EXT,RECALL NON-FACULTY ACAD,other,low,10,0.145,2014|2015|2017|2023|2024|2025,2025,2013,SPECIALIST COOP EXT,3,RECALL NON-FACULTY ACAD,1,claude
STATISTICIAN PRN,RSCH DATA ANL 3,other,low,10,0.222,2016|2017|2018|2019|2023,2023,2012,STATISTICIAN,3,RSCH DATA ANL,3,claude
STDT 4 NON UC,K TO 14 ACAD PREP SPEC 1,other,low,10,0.208,2022|2024,2025,2021,STDT,4,K TO 14 ACAD PREP SPEC,1,claude
STDT LIFE DEV SPEC 1,STDT LIFE DEV SPEC 3,promotion,medium,10,0.156,2017|2019|2021|2022|2024,2025,2012,STDT LIFE DEV SPEC,1,STDT LIFE DEV SPEC,3,claude
STERILE PROCESSING TCHN 1 PD,STERILE PROCESSING TCHN 2 PD,promotion,medium,10,0.116,2017|2019|2023|2024|2025,2025,2012,STERILE PROCESSING TCHN,1,STERILE PROCESSING TCHN,2,claude
STOREKEEPER SR,STOREKEEPER LD,promotion,medium,10,0.115,2015|2016|2021|2022|2024|2025,2025,2012,STOREKEEPER,2,STOREKEEPER,3,claude
STUDENT ACADEMIC ADVISOR 4,STDT ACAD ADVISOR 4,rename,high,10,0.909,2012,2011,2012,STUDENT ACADEMIC ADVISOR,4,STDT ACAD ADVISOR,4,claude
"STUDENT ASSISTANT III, NON UC",STDT 3 NON UC,rename,high,10,0.714,2012,2011,2012,"STUDENT ASSISTANT III,",1,STDT,3,claude
SYSTEMS ADMINISTRATOR 2,SYS ADM 2,rename,high,10,0.909,2012,2011,2012,SYSTEMS ADMINISTRATOR,2,SYS ADM,2,claude
TCHL PROJECT MGT PROFL 2,TCHL PROJECT MGT PROFL 3,promotion,high,10,0.323,2014|2019|2021|2022|2023|2024|2025,2025,2012,TCHL PROJECT MGT PROFL,2,TCHL PROJECT MGT PROFL,3,claude
TCHN 3 SUPV,HEALTH TCHN 3 SUPV,rename,high,10,0.833,2016,2015,2016,TCHN SUPV,3,HEALTH TCHN SUPV,3,claude
"TECHNICIAN I, GI ENDOSCOPY",GI ENDOSCOPY TCHN 1,rename,high,10,0.769,2012,2011,2012,"TECHNICIAN I, GI ENDOSCOPY",1,GI ENDOSCOPY TCHN,1,claude
"TECHNICIAN III, GI ENDOSCOPY",GI ENDOSCOPY TCHN 3,rename,high,10,1.0,2012,2011,2012,"TECHNICIAN III, GI ENDOSCOPY",1,GI ENDOSCOPY TCHN,3,claude
"TECHNICIAN, EMERGENCY, TRAUMA","TECHNICIAN, EMERG TRAUMA, SR",other,low,10,0.159,2011,2011,2010,"TECHNICIAN, EMERGENCY, TRAUMA",1,"TECHNICIAN, EMERG TRAUMA",2,claude
"TECHNICIAN, NURSERY, SR",NURSERY TCHN SR,rename,high,10,0.833,2012,2011,2012,"TECHNICIAN, NURSERY",2,NURSERY TCHN,2,claude
"TECHNICIAN, TELEVISION",TELEVISION TCHN,rename,high,10,0.833,2012,2011,2012,"TECHNICIAN, TELEVISION",1,TELEVISION TCHN,1,claude
"TECHNOLOGIST, CT, LEAD",CT TCHNO LD,rename,high,10,1.0,2012,2011,2012,"TECHNOLOGIST, CT",3,CT TCHNO,3,claude
"TECHNOLOGIST, EEG, SR",EEG TCHNO SR,rename,high,10,0.769,2012,2011,2012,"TECHNOLOGIST, EEG",2,EEG TCHNO,2,claude
"TECHNOLOGIST,RADIOLOG,PER DIEM",RADLG TCHNO,other,low,10,0.233,2012,2011,2012,"TECHNOLOGIST,RADIOLOG,PER DIEM",1,RADLG TCHNO,1,claude
TECHNOLOGY TRANSFER OFCR 1,TECH TRANSFER OFCR 1,rename,high,10,0.769,2016,2015,2016,TECHNOLOGY TRANSFER OFCR,1,TECH TRANSFER OFCR,1,claude
THEATER PROD SUPV,THEATER PROD SPEC 2,rename,medium,10,0.385,2015|2016|2017|2021|2022,2021,2012,THEATER PROD SUPV,1,THEATER PROD SPEC,2,claude
"THERAPIST, RECREATION, PD",RECREATION THER PD,rename,high,10,1.0,2012,2011,2012,"THERAPIST, RECREATION,",1,RECREATION THER,1,claude
ULTRASOUND TCHNO PRN,RADLG SVC SUPV 2,other,low,10,0.244,2017|2019|2022|2023|2024|2025,2025,2016,ULTRASOUND TCHNO,3,RADLG SVC SUPV,2,claude
ULTRASOUND TCHNO SR,ULTRASOUND TCHNO LD,promotion,medium,10,0.067,2015|2016|2019|2020|2021|2022|2024|2025,2025,2012,ULTRASOUND TCHNO,2,ULTRASOUND TCHNO,3,claude
VOC NURSE,VOC NURSE PD,variant,high,10,0.04,2013|2014|2016|2022|2023|2025,2025,2012,VOC NURSE,1,VOC NURSE,1,claude
VST ASSOC PROFESSOR-FISCAL YR,VIS ASSOC PROF,rename,high,10,0.667,2014|2017|2018,2017,2012,VST PROFESSOR-FISCAL YR,2,VIS PROF,2,claude
"____ASSISTANT, HOSPITAL, IV",HOSP BLANK AST 4,rename,high,10,0.714,2012,2011,2012,"____ASSISTANT, HOSPITAL",4,HOSP BLANK AST,4,claude
"---ASSISTANT II, PER DIEM",BLANK AST 2 PD,rename,high,9,0.6,2012,2011,2012,"ASSISTANT, PER DIEM",2,BLANK AST,2,claude
"-ASSIST. II, HOSP., P.D.",STERILE PROCESSING TCHN 1 PD,other,low,9,0.103,2012,2011,2012,"-ASSIST. II, HOSP., P.D.",1,STERILE PROCESSING TCHN,1,claude
ACAD ADVISOR 1,ACAD ADVISOR 2,promotion,high,9,0.265,2013|2014,2015,2012,ACAD ADVISOR,1,ACAD ADVISOR,2,claude
